"Date","Price","Open","High","Low","Vol.","Change %"
"2024/02/29","91,740,088","89,099,256","95,500,000","85,802,224","0.02K","2.96%"
"2024/02/28","89,099,256","86,100,128","92,200,000","83,320,008","0.02K","3.48%"
"2024/02/27","86,100,128","88,198,824","91,999,888","86,100,120","0.01K","-2.38%"
"2024/02/26","88,198,824","79,905,192","89,000,000","79,905,120","0.01K","10.38%"
"2024/02/25","79,905,192","82,401,064","84,799,840","71,129,000","0.01K","-3.03%"
"2024/02/24","82,401,064","85,620,000","87,480,000","81,500,000","0.01K","-3.76%"
"2024/02/23","85,620,000","88,994,880","89,664,600","84,000,008","0.02K","-3.79%"
"2024/02/22","88,994,880","85,300,000","93,980,000","77,000,096","0.02K","4.33%"
"2024/02/21","85,300,000","94,600,400","96,990,000","65,750,000","0.03K","-9.83%"
"2024/02/20","94,600,400","89,066,000","96,400,144","88,721,000","0.02K","6.21%"
"2024/02/19","89,066,000","85,200,064","89,984,984","85,000,000","0.01K","4.54%"
"2024/02/18","85,200,064","84,538,184","86,000,000","84,001,112","0.01K","0.78%"
"2024/02/17","84,538,184","84,883,384","86,500,000","82,900,000","0.01K","-0.40%"
"2024/02/16","84,880,384","83,370,112","87,000,000","83,100,000","0.02K","1.81%"
"2024/02/15","83,370,112","81,209,032","85,200,000","81,209,016","0.02K","2.66%"
"2024/02/14","81,209,032","76,316,256","82,760,000","76,000,400","0.02K","5.81%"
"2024/02/13","76,748,840","75,297,856","76,752,288","74,503,256","0.02K","1.93%"
"2024/02/12","75,297,856","71,399,568","75,866,000","70,700,000","0.02K","5.46%"
"2024/02/11","71,399,568","70,740,632","72,297,800","70,740,424","0.01K","0.93%"
"2024/02/10","70,740,632","69,955,064","71,455,224","69,440,000","0.01K","1.12%"
"2024/02/09","69,955,064","66,805,496","70,984,800","66,400,000","0.02K","4.71%"
"2024/02/08","66,805,496","65,171,152","67,250,032","64,700,100","0.02K","2.51%"
"2024/02/07","65,171,152","64,049,992","65,805,444","63,070,888","0.02K","1.75%"
"2024/02/06","64,049,992","61,720,000","64,498,992","61,201,504","0.02K","3.78%"
"2024/02/05","61,720,000","61,695,472","63,099,972","60,860,008","0.02K","0.04%"
"2024/02/04","61,695,472","61,770,000","62,440,000","61,101,032","0.01K","-0.12%"
"2024/02/03","61,770,000","61,901,000","62,849,896","61,560,100","0.01K","-0.21%"
"2024/02/02","61,901,000","60,460,640","62,000,000","59,369,000","0.02K","2.38%"
"2024/02/01","60,460,640","64,200,000","64,200,000","58,005,248","0.02K","-5.82%"
"2024/01/31","64,200,000","64,221,320","67,000,000","63,000,000","0.02K","-0.03%"
"2024/01/30","64,221,320","63,263,304","65,698,996","61,277,000","0.02K","1.51%"
"2024/01/29","63,263,304","60,413,192","63,263,328","60,200,140","0.02K","4.72%"
"2024/01/28","60,413,192","59,910,300","62,500,000","59,710,000","0.01K","0.84%"
"2024/01/27","59,910,300","59,050,248","60,199,012","58,200,000","0.01K","1.46%"
"2024/01/26","59,050,248","55,819,928","59,350,008","55,701,008","0.02K","5.79%"
"2024/01/25","55,819,928","55,670,048","56,468,016","55,151,000","0.02K","0.27%"
"2024/01/24","55,670,048","55,630,348","56,534,512","54,500,000","0.02K","0.07%"
"2024/01/23","55,630,348","53,250,264","56,200,000","52,500,000","0.02K","4.47%"
"2024/01/22","53,250,264","56,399,968","56,500,320","53,250,256","0.01K","-5.58%"
"2024/01/21","56,399,968","55,999,884","56,632,580","55,656,000","0.01K","0.71%"
"2024/01/20","55,999,884","55,761,400","56,270,000","55,300,004","0.01K","0.43%"
"2024/01/19","55,761,400","55,870,056","56,792,896","53,600,100","0.02K","-0.19%"
"2024/01/18","55,870,056","56,680,000","57,989,856","54,603,000","0.02K","-1.43%"
"2024/01/17","56,680,000","56,051,844","56,999,960","55,545,020","0.01K","1.12%"
"2024/01/16","56,051,844","55,396,500","57,185,000","54,451,100","0.01K","1.18%"
"2024/01/15","55,396,500","53,500,988","55,999,000","53,500,064","0.01K","3.54%"
"2024/01/14","53,500,988","54,418,892","54,898,896","53,500,000","0.01K","-1.69%"
